bal_150_t-1,bal_250_t-1,bal_350_t-1,bal_energy_band_low_t-1,bal_energy_band_medium_t-1,bal_energy_band_high_t-1,6004_FTF_t-1,6004_BSF_t-1,6004_BPFO_t-1,6004_BPFI_t-1,bal_150_t,bal_250_t,bal_350_t,bal_energy_band_low_t,bal_energy_band_medium_t,bal_energy_band_high_t,6004_FTF_t,6004_BSF_t,6004_BPFO_t,6004_BPFI_t
-9.595387109,-7.7710293043,-9.5508210191,-801.7324440136,-2865.1589472198,-7135.097708966,-51.0298990268,-37.7171748075,-37.6770656106,-40.4262292382,-9.9002929713,-7.8351100238,-9.1135368507,-901.0910349179,-3060.4033874766,-7354.0012276305,-48.0512689567,-43.6483740283,-41.2069519396,-41.6305142622
-9.4096084249,-7.8241029757,-9.3770260802,-789.5437097704,-2872.4814267235,-7156.2821400261,-47.9740025818,-37.7808266567,-34.7291428358,-40.3612525055,-10.1435802468,-7.8589793701,-9.0737558284,-904.1433968177,-3052.546120799,-7350.5288472936,-48.6853001091,-43.7674129445,-40.2564058736,-40.6576541887
-9.4556174609,-7.7903677927,-9.3807413573,-811.9769649472,-2861.6969183466,-7167.0288103831,-50.1895256416,-38.6644135206,-36.0666765662,-40.0592424351,-9.612691391,-7.8458823504,-9.4661577444,-911.233265717,-3090.3628414622,-7347.9228475449,-49.3914886178,-43.5707310019,-39.1573449058,-40.0913885897
-9.1659649207,-7.8388238782,-9.591290834,-811.6690671024,-2922.7344966829,-7207.5745466903,-52.5608326557,-39.9570688785,-37.1432009323,-38.6800275204,-9.8512554694,-7.8355574244,-9.0705277718,-903.5697993695,-3086.7703686163,-7385.1627168588,-48.2792991351,-42.8056815773,-40.4701832573,-39.9895888504
-9.065168124,-7.5966593173,-9.4205974923,-804.8026910708,-2871.7359860555,-7187.6028785611,-46.5893707927,-37.7357934046,-37.8005035786,-40.2052452185,-9.8815119889,-7.792323249,-9.1930141197,-895.4678676878,-3073.4410630857,-7357.6057071058,-50.0056277051,-41.1324900973,-41.2891451955,-42.0134653782
-9.0761081266,-7.7484701867,-9.4236160751,-810.8212494318,-2861.4514308184,-7142.5599772796,-53.7552981254,-39.1797047021,-37.8322700904,-40.149313481,-10.223676727,-7.7951040254,-9.0832627578,-913.8788226731,-3089.4612404665,-7368.1845015029,-50.8211987524,-42.793908141,-42.0454056086,-40.5735363307
-9.110696476,-7.8347582569,-9.5233273352,-811.2509566505,-2885.4202916624,-7164.257983517,-52.4969644438,-38.9401415291,-38.108051271,-37.4249882689,-9.9285440303,-7.7850026054,-9.0422114168,-903.38976484,-3083.0344998999,-7370.4809062887,-50.2154278605,-42.7419709407,-42.3168431363,-40.8329936222
-9.261725231,-7.6838447072,-9.4484352617,-794.7772381603,-2873.9938133204,-7130.6754680865,-50.5186424421,-38.4621774374,-34.4430932604,-40.4909378927,-9.6769926565,-7.8443310039,-9.3233300281,-902.6351963855,-3077.8550084319,-7356.364297158,-50.6824653612,-42.5000323643,-40.0618770789,-42.231646309
-9.385519125,-7.6795924555,-9.3081136088,-820.8740705025,-2880.1557262969,-7163.2078290057,-48.0822965685,-38.2575807792,-38.0857762453,-41.433048581,-9.9043322409,-7.7404653735,-9.4258139021,-897.1659446897,-3085.4103593617,-7344.90763418,-51.4264653464,-42.7264602854,-39.4347257803,-41.1829090767
-9.8340867992,-7.851804546,-9.4487187545,-802.4620976544,-2852.1559427094,-7146.4263391103,-43.0702151647,-37.3287650891,-38.1369701472,-40.1262317605,-10.1021942726,-7.7651659385,-9.0971281789,-889.6911734618,-3076.3901085694,-7348.1142575656,-47.1349599169,-43.3060424096,-40.8168491027,-40.2144762965
